species	speciations	duplications	losses
Gryllus_longicercus	4	0	2
Halyomorpha_halys	0	0	6
Harmonia_axyridis	4	0	0
Helicoverpa_armigera	3	0	0
Helicoverpa_zea	3	0	0
Hermetia_illucens	53	47	4
Hetaerina_americana	2	0	0
Homalodisca_vitripennis	2	1	1
Hyposmocoma_kahamanoa	3	0	3
Ignelater_luminosus	0	0	2
Ischnura_elegans	2	0	0
Lamprigera_yunnana	1	0	1
Laodelphax_striatellus	1	0	0
Leguminivora_glycinivorella	4	1	1
Leptidea_sinapis	2	0	2
Leptinotarsa_decemlineata	2	0	0
Lucilia_cuprina	23	6	2
Lucilia_sericata	19	3	3
Lutzomyia_longipalpis	6	2	2
Malaya_genurostris	6	1	1
Manduca_sexta	4	1	0
Maniola_hyperantus	2	0	0
Maniola_jurtina	2	0	0
Melitaea_cinxia	2	0	2
Musca_domestica	43	29	3
Musca_vetustissima	21	9	5
Neocloeon_triangulifer	1	0	0
Neodiprion_fabricii	2	0	1
Neodiprion_lecontei	2	0	0
Neodiprion_pinetum	2	0	0
Neodiprion_virginianus	2	0	1
Nicrophorus_vespilloides	6	3	0
Nilaparvata_lugens	1	0	0
Node_Abscondita_terminalis_Lamprigera_yunnana_0	3	1	0
Node_Achroia_grisella_Amyelois_transitella_0	4	0	3
Node_Achroia_grisella_Galleria_mellonella_0	4	1	1
Node_Aedes_aegypti_Aedes_albopictus_0	8	1	2
Node_Aethina_tumida_Brassicogethes_aeneus_0	4	0	3
Node_Aethina_tumida_Cylas_formicarius_0	7	3	2
Node_Agrilus_planipennis_Ignelater_luminosus_0	3	0	3
Node_Agrilus_planipennis_Onthophagus_taurus_0	6	1	5
Node_Amyelois_transitella_Plodia_interpunctella_0	4	0	0
Node_Anabrus_simplex_Bacillus_rossius_redtenbacheri_0	12	0	6
Node_Anabrus_simplex_Frankliniella_occidentalis_0	18	6	0
Node_Anabrus_simplex_Gryllus_longicercus_0	6	0	6
Node_Anastrepha_ludens_Anastrepha_obliqua_0	9	1	8
Node_Anastrepha_ludens_Ceratitis_capitata_0	16	3	4
Node_Anastrepha_ludens_Glossina_fuscipes_0	17	1	6
Node_Anastrepha_ludens_Scaptodrosophila_lebanonensis_0	22	18	2
Node_Anopheles_albimanus_Anopheles_aquasalis_0	3	0	1
Node_Anopheles_arabiensis_Anopheles_coluzzii_0	6	1	0
